Province,Region,Variance_Ratio_To_Date
Sorsogon,Region V,0.07696695928436971
Batanes,Region II,0.057697978785885895
Albay,Region V,0.03427334121114541
Capiz,Region VI,0.025353095826845685
Leyte,Region VIII,0.0252709715833234
Laguna,Region IV-A,0.0180228584212454
Benguet,CAR,0.016584550940592323
Occidental Mindoro,Region IV-B,0.016425099997682786
Cavite,Region IV-A,0.013286627772163067
Romblon,Region IV-B,0.0130810902078628
Palawan,Region IV-B,0.0126078188364169
Batangas,Region IV-A,0.012012892223555399
Pangasinan,Region I,0.01047908833423515
Camarines Norte,Region V,0.010342643828544471
Nueva Ecija,Region III,0.0102979902803587
Pampanga,Region III,0.009677428193450924
Northern Samar,Region VIII,0.008328658561329775
Catanduanes,Region V,0.00767126810169945
Iloilo,Region VI,0.007528873565527834
Rizal,Region IV-A,0.007096933309409755
Metro Manila,NCR,0.006690821602374182
Ilocos Sur,Region I,0.006671604632523369
Surigao del Norte,Region XIII,0.00457616127802695
Cagayan,Region II,0.004116337399603014
Camarines Sur,Region V,0.00401076031888485
Quezon,Region IV-A,0.0037787432356337874
Zambales,Region III,0.0037567592592448284
La Union,Region I,0.0032553043036812
Negros Occidental,Region VI,0.0031737567844721997
Samar,Region VIII,0.0030700299131253004
Davao del Sur,Region XI,0.00235044153508045
Bulacan,Region III,0.0022419452699061
Bataan,Region III,0.0020586686358941113
Bohol,Region VII,0.0019573911486984
Isabela,Region II,0.00179631997225615
Ilocos Norte,Region I,0.0016280284960280902
Aurora,Region III,0.0013979552059700398
Cebu,Region VII,0.00108047139723065
Davao del Norte,Region XI,0.0009533570110422
Eastern Samar,Region VIII,0.00040022083150211875
Southern Leyte,Region VIII,0.0002059926336961
Bukidnon,Region X,0.0
Masbate,Region V,0.0
Misamis Oriental,Region X,0.0
Surigao del Sur,Region XIII,0.0
Oriental Mindoro,Region IV-B,0.0
Tarlac,Region III,0.0
Negros Oriental,Region VII,-4.024479296996898e-05
