FundingYear,Region,Province,Municipality,ApprovedBudgetForContract,ContractCost,ActualCompletionDate,TypeOfWork,Final_Budget,Budget_Variance,Final_Budget_M
2021,Cordillera Administrative Region,Apayao,,96500000.0,92692943.8,2022-10-03,Construction of Flood Mitigation Structure,92692943.8,3807056.200000003,92.6929438
2021,Cordillera Administrative Region,Apayao,,49000000.0,47521251.3,2022-11-24,Construction of Flood Mitigation Structure,47521251.3,1478748.700000003,47.521251299999996
2021,Cordillera Administrative Region,Apayao,,47423180.0,45942583.67,2022-11-28,Construction of Flood Mitigation Structure,45942583.67,1480596.3299999982,45.942583670000005
2021,Cordillera Administrative Region,Apayao,,9900000.0,9900000.0,2022-12-15,Construction of Flood Mitigation Structure,9900000.0,0.0,9.9
2021,Cordillera Administrative Region,Apayao,,4950000.0,4950000.0,2022-09-23,Construction of Flood Mitigation Structure,4950000.0,0.0,4.95
2021,Cordillera Administrative Region,Apayao,,39199819.73,38292917.46,2022-09-24,Construction of Flood Mitigation Structure,38292917.46,906902.2699999958,38.29291746
2021,Cordillera Administrative Region,Apayao,,82914680.0,80309010.27,2023-04-14,Construction of Flood Mitigation Structure,80309010.27,2605669.730000004,80.30901027
2022,Cordillera Administrative Region,Apayao,CONNER (APAYAO),23519997.48,22928490.31,2022-11-02,Construction of Flood Mitigation Structure,22928490.31,591507.1700000018,22.928490309999997
2022,Cordillera Administrative Region,Apayao,CONNER (APAYAO),15678924.68,15680000.0,2022-12-22,Construction of Flood Mitigation Structure,15680000.0,-1075.320000000298,15.68
2022,Cordillera Administrative Region,Apayao,CONNER (APAYAO),51761907.66,51762600.0,2023-05-30,Construction of Flood Mitigation Structure,51762600.0,-692.3400000035763,51.7626
2023,Cordillera Administrative Region,Apayao,CONNER (APAYAO),72375000.0,72375000.0,2023-12-14,Construction of Revetment,72375000.0,0.0,72.375
2023,Cordillera Administrative Region,Apayao,CONNER (APAYAO),24500000.0,24500000.0,2023-06-22,Construction of Revetment,24500000.0,0.0,24.5
2023,Cordillera Administrative Region,Apayao,CONNER (APAYAO),115793907.83,115800000.0,2024-02-29,Construction of Flood Mitigation Structure,115800000.0,-6092.170000001788,115.8
2022,Cordillera Administrative Region,Apayao,CALANASAN (BAYAG) (APAYAO),49000000.0,49000000.0,2022-12-12,Construction of Flood Mitigation Structure,49000000.0,0.0,49.0
2022,Cordillera Administrative Region,Apayao,CALANASAN (BAYAG) (APAYAO),6930000.0,6827260.01,2023-09-15,Construction of Flood Mitigation Structure,6827260.01,102739.99000000022,6.82726001
2022,Cordillera Administrative Region,Apayao,CALANASAN (BAYAG) (APAYAO),49000000.0,47169843.01,2023-11-15,Construction of Flood Mitigation Structure,47169843.01,1830156.990000002,47.16984301
2023,Cordillera Administrative Region,Apayao,CALANASAN (BAYAG) (APAYAO),96500000.0,96500000.0,2024-02-07,Construction of Flood Mitigation Structure,96500000.0,0.0,96.5
2023,Cordillera Administrative Region,Apayao,CALANASAN (BAYAG) (APAYAO),96500000.0,96500000.0,2024-03-11,Construction of Flood Mitigation Structure,96500000.0,0.0,96.5
2023,Cordillera Administrative Region,Apayao,CALANASAN (BAYAG) (APAYAO),96500000.0,93386847.09,2024-03-15,Construction of Flood Mitigation Structure,93386847.09,3113152.9099999964,93.38684709
2022,Cordillera Administrative Region,Apayao,PUDTOL (APAYAO),82025000.0,79576285.45,2023-07-31,Construction of Flood Mitigation Structure,79576285.45,2448714.549999997,79.57628545
2023,Cordillera Administrative Region,Apayao,PUDTOL (APAYAO),96500000.0,96481880.32,2024-04-03,Construction of Flood Mitigation Structure,96481880.32,18119.680000007153,96.48188031999999
2022,Cordillera Administrative Region,Apayao,SANTA MARCELA (APAYAO),77200000.0,77189689.42,2023-03-20,Construction of Flood Mitigation Structure,77189689.42,10310.579999998212,77.18968942000001
2023,Cordillera Administrative Region,Apayao,SANTA MARCELA (APAYAO),96500000.0,96483381.66,2023-12-15,Construction of Flood Mitigation Structure,96483381.66,16618.340000003576,96.48338165999999
2023,Cordillera Administrative Region,Apayao,SANTA MARCELA (APAYAO),86850000.0,83452531.58,2023-12-15,Construction of Flood Mitigation Structure,83452531.58,3397468.420000002,83.45253158
2022,Cordillera Administrative Region,Apayao,LUNA (APAYAO),82025000.0,79564241.95,2023-10-09,Construction of Flood Mitigation Structure,79564241.95,2460758.049999997,79.56424195
2023,Cordillera Administrative Region,Apayao,LUNA (APAYAO),96500000.0,96500000.0,2024-07-10,Construction of Flood Mitigation Structure,96500000.0,0.0,96.5
2023,Cordillera Administrative Region,Apayao,LUNA (APAYAO),96500000.0,96493463.88,2024-03-20,Construction of Flood Mitigation Structure,96493463.88,6536.120000004768,96.49346388
2023,Cordillera Administrative Region,Apayao,LUNA (APAYAO),14700000.0,14243240.81,2024-02-27,Construction of Flood Mitigation Structure,14243240.81,456759.1899999995,14.24324081
2022,Cordillera Administrative Region,Apayao,KABUGAO (CAPITAL) (APAYAO),23871900.8,23872800.0,2022-11-28,Construction of Flood Mitigation Structure,23872800.0,-899.1999999992549,23.8728
2022,Cordillera Administrative Region,Apayao,KABUGAO (CAPITAL) (APAYAO),24499413.08,24500000.0,2023-03-28,Construction of Flood Mitigation Structure,24500000.0,-586.9200000017881,24.5
2022,Cordillera Administrative Region,Apayao,KABUGAO (CAPITAL) (APAYAO),24499866.44,24500000.0,2023-04-30,Construction of Flood Mitigation Structure,24500000.0,-133.5599999986589,24.5
2023,Cordillera Administrative Region,Apayao,KABUGAO (CAPITAL) (APAYAO),49000000.0,49000000.0,2023-09-08,Construction of Revetment,49000000.0,0.0,49.0
2023,Cordillera Administrative Region,Apayao,KABUGAO (CAPITAL) (APAYAO),49000000.0,49000000.0,2023-11-22,Construction of Revetment,49000000.0,0.0,49.0
2023,Cordillera Administrative Region,Apayao,KABUGAO (CAPITAL) (APAYAO),49000000.0,49000000.0,2023-12-07,Construction of Revetment,49000000.0,0.0,49.0
2021,Cordillera Administrative Region,Benguet,,81078319.98,80869305.14,2022-12-20,Construction of Flood Mitigation Structure,80869305.14,209014.84000000358,80.86930514
2021,Cordillera Administrative Region,Benguet,,96487461.5,96500000.0,2023-03-15,Construction of Flood Mitigation Structure,96500000.0,-12538.5,96.5
2021,Cordillera Administrative Region,Benguet,,96486192.7,96500000.0,2022-09-03,Construction of Flood Mitigation Structure,96500000.0,-13807.29999999702,96.5
2021,Cordillera Administrative Region,Benguet,,96496794.18,96500000.0,2022-12-03,Construction of Flood Mitigation Structure,96500000.0,-3205.8199999928474,96.5
2021,Cordillera Administrative Region,Benguet,,96495738.04,96372298.9,2022-12-08,Construction of Flood Mitigation Structure,96372298.9,123439.1400000006,96.3722989
2021,Cordillera Administrative Region,Benguet,,96493651.0,96500000.0,2022-09-03,Construction of Flood Mitigation Structure,96500000.0,-6349.0,96.5
2021,Cordillera Administrative Region,Benguet,,29400000.0,23831587.47,2022-12-14,Construction of Flood Mitigation Structure,23831587.47,5568412.530000001,23.83158747
2021,Cordillera Administrative Region,Benguet,,9800000.0,9750603.31,2022-07-02,Construction of Flood Mitigation Structure,9750603.31,49396.68999999948,9.75060331
2021,Cordillera Administrative Region,Benguet,,9800000.0,9505756.45,2022-12-08,Construction of Flood Mitigation Structure,9505756.45,294243.55000000075,9.50575645
2021,Cordillera Administrative Region,Benguet,,29400000.0,29377392.06,2022-07-18,Construction of Flood Mitigation Structure,29377392.06,22607.94000000134,29.37739206
2021,Cordillera Administrative Region,Benguet,,9800000.0,8704178.48,2022-09-02,Construction of Flood Mitigation Structure,8704178.48,1095821.5199999996,8.704178480000001
2021,Cordillera Administrative Region,Benguet,,19600000.0,19600000.0,2022-07-22,Construction of Flood Mitigation Structure,19600000.0,0.0,19.6
2021,Cordillera Administrative Region,Benguet,,29400000.0,29400000.0,2022-10-20,Construction of Flood Mitigation Structure,29400000.0,0.0,29.4
2021,Cordillera Administrative Region,Benguet,,29400000.0,29400000.0,2022-09-29,Construction of Flood Mitigation Structure,29400000.0,0.0,29.4
2021,Cordillera Administrative Region,Benguet,,11649260.0,11489414.45,2022-12-02,Construction of Flood Mitigation Structure,11489414.45,159845.55000000075,11.48941445
2022,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),24500000.0,24487767.7,2022-11-25,Construction of Flood Mitigation Structure,24487767.7,12232.300000000745,24.4877677
2022,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),24500000.0,24489189.7,2022-08-11,Construction of Flood Mitigation Structure,24489189.7,10810.300000000745,24.4891897
2022,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),2940000.0,2930210.39,2022-11-08,Construction of Flood Mitigation Structure,2930210.39,9789.60999999987,2.93021039
2022,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),2940000.0,2934796.4,2023-02-07,Rehabilitation / Major Repair of Drainage Structure,2934796.4,5203.600000000093,2.9347963999999997
2023,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),77200000.0,77190000.0,2023-11-12,Construction of Flood Mitigation Structure,77190000.0,10000.0,77.19
2023,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),96500000.0,96480000.0,2023-12-22,Construction of Flood Mitigation Structure,96480000.0,20000.0,96.48
2024,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),86850000.0,86820000.0,2024-11-22,Construction of Flood Mitigation Structure,86820000.0,30000.0,86.82
2022,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),24500000.0,24447245.69,2022-07-29,Construction of Flood Mitigation Structure,24447245.69,52754.30999999866,24.447245690000003
2022,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),24500000.0,24445135.58,2022-11-14,Construction of Flood Mitigation Structure,24445135.58,54864.42000000179,24.44513558
2022,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),9800000.0,9679857.68,2022-11-21,Construction of Flood Mitigation Structure,9679857.68,120142.3200000003,9.67985768
2022,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),9800000.0,9793460.31,2023-01-24,Construction of Flood Mitigation Structure,9793460.31,6539.6899999994785,9.79346031
2022,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),2940000.0,2919512.6,2022-12-20,Construction of Flood Mitigation Structure,2919512.6,20487.399999999907,2.9195126
2022,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),2940000.0,2937836.0,2022-11-11,Construction of Flood Mitigation Structure,2937836.0,2164.0,2.937836
2024,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),39200000.0,39193427.02,2024-10-08,Construction of Flood Mitigation Structure,39193427.02,6572.979999996722,39.19342702
2024,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),29400000.0,29396000.0,2024-11-19,Construction of Flood Mitigation Structure,29396000.0,4000.0,29.396
2022,Cordillera Administrative Region,Benguet,ITOGON (BENGUET),24500000.0,24500000.0,2022-08-12,Construction of Flood Mitigation Structure,24500000.0,0.0,24.5
