Cyclone Name,Region,Year,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP)
Amang,Region XIII,2019,Tropical Depression,0,0,16574,0,0,0,0.0,0.0
Chedeng,Region XI,2019,Tropical Depression,0,0,6661,4,15,19,0.0,0.0
Falcon,CAR,2019,Tropical Storm,0,0,495,1,1,2,0.0,492320.0
Falcon,Region I,2019,Tropical Storm,0,0,5,0,1,1,914000000.0,0.0
Falcon,Region II,2019,Tropical Storm,0,0,502,0,0,0,118879500.0,36556039.0
Marilyn,Region II,2019,Tropical Depression,0,0,0,0,0,0,0.0,0.0
Marilyn,Region III,2019,Tropical Depression,0,0,0,0,0,0,0.0,0.0
Marilyn,Region IX,2019,Tropical Depression,0,0,8207,0,0,0,0.0,0.0
Marilyn,Region VI,2019,Tropical Depression,0,0,0,0,0,0,0.0,0.0
Marilyn,Region XI,2019,Tropical Depression,0,0,135,0,0,0,0.0,0.0
Marilyn,Region XII,2019,Tropical Depression,0,0,7094,44,155,199,0.0,0.0
Tino,CAR,2019,Typhoon,0,0,7607,3,0,3,0.0,0.0
Tino,Region I,2019,Typhoon,0,0,521,0,0,0,0.0,0.0
Tino,Region II,2019,Typhoon,0,0,20213,0,0,0,0.0,35689392.0
Tino,Region V,2019,Typhoon,0,0,3290,10,9,19,0.0,0.0
Tisoy,CAR,2019,Super Typhoon,0,0,8,0,1,1,0.0,0.0
Tisoy,Region III,2019,Super Typhoon,0,0,21993,1,120,121,0.0,0.0
Tisoy,Region IV-A,2019,Super Typhoon,3,0,116214,9108,1202,10310,0.0,668320299.0
Tisoy,Region IV-B,2019,Super Typhoon,0,0,58287,7400,65664,73064,647368790.69,159165600.0
Tisoy,Region V,2019,Super Typhoon,0,0,1218313,44072,302954,347026,4591206247.21,1920958468.8000002
Tisoy,Region VI,2019,Super Typhoon,0,0,0,2,4,6,0.0,0.0
Tisoy,Region VIII,2019,Super Typhoon,1,0,577240,8838,91062,99900,0.0,297909575.79
Tisoy,Region XIII,2019,Super Typhoon,0,0,51,3,9,12,0.0,0.0
Ursula,Region IV-B,2019,Typhoon,9,0,155317,7121,28194,35315,1186624287.4,72845483.39
Ursula,Region VI,2019,Typhoon,29,0,1491876,34380,209853,244233,0.0,1888016669.9
Ursula,Region VII,2019,Typhoon,1,0,131435,5262,21025,26287,0.0,14981300.0
Ursula,Region VIII,2019,Typhoon,18,0,1516898,64129,234821,298950,107948601.0,1051845458.25
Ursula,Region XIII,2019,Typhoon,0,0,1351,0,0,0,0.0,0.0
Ambo,CAR,2020,Super Typhoon,0,0,143,0,0,0,0.0,223734.0
Ambo,Region I,2020,Super Typhoon,0,0,6,0,0,0,0.0,0.0
Ambo,Region II,2020,Super Typhoon,0,0,102,0,0,0,0.0,0.0
Ambo,Region III,2020,Super Typhoon,0,0,3505,4,2,6,0.0,55159678.0
Ambo,Region VIII,2020,Super Typhoon,0,0,574815,7646,49617,57263,0.0,191351482.0
Ofel,Region IV-A,2020,Tropical Depression,0,0,5595,0,0,0,0.0,51562.5
Ofel,Region V,2020,Tropical Depression,0,0,760,0,0,0,0.0,0.0
Ofel,Region VII,2020,Tropical Depression,0,0,20330,7,0,7,0.0,0.0
Pepito,CAR,2020,Typhoon,0,0,3,0,1,1,0.0,0.0
Pepito,Region II,2020,Typhoon,0,0,2263,0,0,0,29200000.0,36433588.0
Pepito,Region III,2020,Typhoon,0,0,95089,0,0,0,0.0,22442105.0
Pepito,Region IV-A,2020,Typhoon,0,0,26405,4,4,8,0.0,11913175.0
Quinta,CAR,2020,Super Typhoon,0,0,0,0,0,0,0.0,0.0
Quinta,NCR,2020,Super Typhoon,0,0,0,0,0,0,0.0,0.0
Quinta,Region III,2020,Super Typhoon,0,0,280279,0,0,0,8000000.0,103048653.0
Quinta,Region IV-A,2020,Super Typhoon,0,0,105545,793,7553,8346,20000000.0,993798088.0
Quinta,Region IV-B,2020,Super Typhoon,0,0,259639,6814,52937,59751,1403983103.75,876560202.0
Quinta,Region V,2020,Super Typhoon,0,0,211829,1517,24124,25641,121253900.0,395790598.0
Quinta,Region VI,2020,Super Typhoon,0,0,25582,15,119,134,7350000.0,227166497.0
Quinta,Region VII,2020,Super Typhoon,0,0,5102,6,1,7,0.0,0.0
Quinta,Region VIII,2020,Super Typhoon,0,0,399,2,0,2,0.0,686309.0
Rolly,CAR,2020,Super Typhoon,0,0,492,0,2,2,0.0,6111656.0
Rolly,NCR,2020,Super Typhoon,0,0,20446,0,0,0,0.0,0.0
Rolly,Region II,2020,Super Typhoon,0,0,861,0,0,0,0.0,0.0
Rolly,Region III,2020,Super Typhoon,0,0,303003,0,0,0,0.0,67745484.0
Rolly,Region IV-A,2020,Super Typhoon,0,0,497576,1880,22603,24483,10045000.0,1335182531.0
Rolly,Region IV-B,2020,Super Typhoon,0,0,118846,93,711,804,196999800.2,16300000.0
Rolly,Region V,2020,Super Typhoon,0,0,1088706,35476,110008,145484,6890969893.6,3581704608.0
Rolly,Region VIII,2020,Super Typhoon,0,0,200,0,0,0,0.0,173491.0
Ulysses,CAR,2020,Super Typhoon,14,0,7032,51,865,916,499555326.9,604841401.0
Ulysses,NCR,2020,Super Typhoon,0,0,54195,31,0,31,0.0,0.0
Ulysses,Region I,2020,Super Typhoon,2,0,107618,119,2837,2956,547295000.0,425827500.0
Ulysses,Region II,2020,Super Typhoon,20,0,913275,374,1126,1500,4323917825.0,1882426097.0
Ulysses,Region III,2020,Super Typhoon,6,0,2324743,7569,71592,79161,1129009651.3,1379824325.0
