Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Date,Province,Region,Cumulative_Budget_To_Date,Cumulative_Variance_To_Date,Variance_Ratio_To_Date
Falcon,2019,"Coron, Palawan",133.4,21.0,2019-07-15,Palawan,Region IV-B,0.0,0.0,0.0
Falcon,2019,"Juban, Sorsogon",145.2,21.0,2019-07-15,Sorsogon,Region V,0.0,0.0,0.0
Falcon,2019,"Laoag City, Ilocos Norte",181.8,21.0,2019-07-15,Ilocos Norte,Region I,0.0,0.0,0.0
Hanna,2019,"Iba, Zambales",139.0,0.0,2019-08-04,Zambales,Region III,0.0,0.0,0.0
Hanna,2019,"Subic Bay International Airport, Morong, Bataan",153.5,0.0,2019-08-04,Bataan,Region III,0.0,0.0,0.0
Hanna,2019,"Coron, Palawan",221.2,0.0,2019-08-04,Palawan,Region IV-B,0.0,0.0,0.0
Ineng,2019,"Basco, Batanes",146.4,30.0,2019-08-21,Batanes,Region II,0.0,0.0,0.0
Ineng,2019,"Aparri, Cagayan",146.4,13.0,2019-08-21,Cagayan,Region II,0.0,0.0,0.0
Ineng,2019,"Sinait, Ilocos Sur",188.4,21.666666666666668,2019-08-21,Ilocos Sur,Region I,0.0,0.0,0.0
Ineng,2019,"Laoag City, Ilocos Norte",471.8,21.666666666666668,2019-08-21,Ilocos Norte,Region I,0.0,0.0,0.0
Kabayan,2019,"Port Area, Manila",89.0,14.0,2019-09-01,Metro Manila,NCR,0.0,0.0,0.0
Kabayan,2019,"Ambulong, Tanauan City, Batangas",96.4,13.5,2019-09-01,Batangas,Region IV-A,0.0,0.0,0.0
Kabayan,2019,"Sinait, Ilocos Sur",156.8,13.5,2019-09-01,Ilocos Sur,Region I,0.0,0.0,0.0
Nimfa,2019,"Tanay, Rizal",111.4,0.0,2019-09-17,Rizal,Region IV-A,0.0,0.0,0.0
Nimfa,2019,"Iba, Zambales",107.7,0.0,2019-09-17,Zambales,Region III,0.0,0.0,0.0
Nimfa,2019,"Morong, Bataan",231.5,0.0,2019-09-17,Bataan,Region III,0.0,0.0,0.0
Nimfa,2019,"Subic Bay International Airport, Morong, Bataan",231.5,0.0,2019-09-17,Bataan,Region III,0.0,0.0,0.0
Quiel,2019,"Aparri, Cagayan",366.6,0.0,2019-11-04,Cagayan,Region II,0.0,0.0,0.0
Quiel,2019,"Sinait, Ilocos Sur",83.9,0.0,2019-11-04,Ilocos Sur,Region I,0.0,0.0,0.0
Quiel,2019,"Subic Bay International Airport, Morong, Bataan",83.5,0.0,2019-11-04,Bataan,Region III,0.0,0.0,0.0
Tisoy,2019,"Catarman, Northern Samar",605.5,38.0,2019-12-02,Northern Samar,Region VIII,0.0,0.0,0.0
Tisoy,2019,"Juban, Sorsogon",298.8,40.0,2019-12-02,Sorsogon,Region V,0.0,0.0,0.0
Tisoy,2019,"Virac, Catanduanes",247.4,40.0,2019-12-02,Catanduanes,Region V,0.0,0.0,0.0
Tisoy,2019,"Legazpi City, Albay",273.1,40.0,2019-12-02,Albay,Region V,0.0,0.0,0.0
Ursula,2019,"Guiuan, Eastern Samar",143.2,50.0,2019-12-24,Eastern Samar,Region VIII,0.0,0.0,0.0
Ursula,2019,"Tacloban City, Leyte",143.2,43.0,2019-12-24,Leyte,Region VIII,0.0,0.0,0.0
Ursula,2019,"Roxas City, Capiz",155.0,43.0,2019-12-24,Capiz,Region VI,0.0,0.0,0.0
Ursula,2019,"San Jose, Occidental Mindoro",217.2,42.0,2019-12-24,Occidental Mindoro,Region IV-B,0.0,0.0,0.0
Ambo,2020,"Sangley Pt., Cavite City, Cavite",255.6,20.0,2020-05-11,Cavite,Region IV-A,0.0,0.0,0.0
Ambo,2020,"Tayabas, Quezon",255.6,20.0,2020-05-11,Quezon,Region IV-A,0.0,0.0,0.0
Ambo,2020,"Infanta, Quezon",255.6,26.0,2020-05-11,Quezon,Region IV-A,0.0,0.0,0.0
