Year,typhoon_key,region_key,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Cumulative_Budget_To_Date,Cumulative_Variance_To_Date,Variance_Ratio_To_Date,typhoon_name_info_infra,Region_info_infra,Date,Province,Location,infra_project_count,typhoon_name_impact,Region_impact,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),_merge,merge_source,has_infra_weather_data,has_impact_data
2019,FALCON,REGION I,181.8,21.0,0.0,0.0,0.0,Falcon,Region I,2019-07-15,Ilocos Norte,"Laoag City, Ilocos Norte",1.0,Falcon,Region I,Tropical Storm,0.0,0.0,5.0,0.0,1.0,1.0,914000000.0,0.0,both,both,True,True
2019,TISOY,REGION V,819.3000000000001,120.0,0.0,0.0,0.0,Tisoy,Region V,2019-12-02,Sorsogon,"Juban, Sorsogon",3.0,Tisoy,Region V,Super Typhoon,0.0,0.0,1218313.0,44072.0,302954.0,347026.0,4591206247.21,1920958468.8,both,both,True,True
2019,TISOY,REGION VIII,605.5,38.0,0.0,0.0,0.0,Tisoy,Region VIII,2019-12-02,Northern Samar,"Catarman, Northern Samar",1.0,Tisoy,Region VIII,Super Typhoon,1.0,0.0,577240.0,8838.0,91062.0,99900.0,0.0,297909575.79,both,both,True,True
2019,URSULA,REGION IV B,217.2,42.0,0.0,0.0,0.0,Ursula,Region IV-B,2019-12-24,Occidental Mindoro,"San Jose, Occidental Mindoro",1.0,Ursula,Region IV-B,Typhoon,9.0,0.0,155317.0,7121.0,28194.0,35315.0,1186624287.4,72845483.39,both,both,True,True
2019,URSULA,REGION VI,155.0,43.0,0.0,0.0,0.0,Ursula,Region VI,2019-12-24,Capiz,"Roxas City, Capiz",1.0,Ursula,Region VI,Typhoon,29.0,0.0,1491876.0,34380.0,209853.0,244233.0,0.0,1888016669.9,both,both,True,True
2019,URSULA,REGION VIII,286.4,93.0,0.0,0.0,0.0,Ursula,Region VIII,2019-12-24,Eastern Samar,"Guiuan, Eastern Samar",2.0,Ursula,Region VIII,Typhoon,18.0,0.0,1516898.0,64129.0,234821.0,298950.0,107948601.0,1051845458.25,both,both,True,True
2020,AMBO,REGION III,282.7,25.25,0.0,0.0,0.0,Ambo,Region III,2020-05-11,Aurora,"Casiguran, Aurora",1.0,Ambo,Region III,Super Typhoon,0.0,0.0,3505.0,4.0,2.0,6.0,0.0,55159678.0,both,both,True,True
2020,AMBO,REGION VIII,431.6,70.0,0.0,0.0,0.0,Ambo,Region VIII,2020-05-11,Northern Samar,"Catarman (Synoptic), Northern Samar",2.0,Ambo,Region VIII,Super Typhoon,0.0,0.0,574815.0,7646.0,49617.0,57263.0,0.0,191351482.0,both,both,True,True
2020,PEPITO,REGION III,376.0,83.0,0.0,0.0,0.0,Pepito,Region III,2020-10-19,Zambales,"Iba, Zambales",4.0,Pepito,Region III,Typhoon,0.0,0.0,95089.0,0.0,0.0,0.0,0.0,22442105.0,both,both,True,True
2020,PEPITO,REGION IV A,99.9,20.33333333333333,0.0,0.0,0.0,Pepito,Region IV-A,2020-10-19,Quezon,"Alabat, Quezon",1.0,Pepito,Region IV-A,Typhoon,0.0,0.0,26405.0,4.0,4.0,8.0,0.0,11913175.0,both,both,True,True
