Year,typhoon_key,region_key,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Cumulative_Budget_To_Date,Cumulative_Variance_To_Date,Variance_Ratio_To_Date,typhoon_name_info_infra,Region_info_infra,Date,Province,Location,infra_project_count,typhoon_name_impact,Region_impact,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),_merge,merge_source,has_infra_weather_data,has_impact_data
2019,AMANG,REGION XIII,,,,,,,,,,,,Amang,Region XIII,Tropical Depression,0.0,0.0,16574.0,0.0,0.0,0.0,0.0,0.0,right_only,impact_only,False,True
2019,CHEDENG,REGION XI,,,,,,,,,,,,Chedeng,Region XI,Tropical Depression,0.0,0.0,6661.0,4.0,15.0,19.0,0.0,0.0,right_only,impact_only,False,True
2019,FALCON,CAR,,,,,,,,,,,,Falcon,CAR,Tropical Storm,0.0,0.0,495.0,1.0,1.0,2.0,0.0,492320.0,right_only,impact_only,False,True
2019,FALCON,REGION I,181.8,21.0,0.0,0.0,0.0,Falcon,Region I,2019-07-15,Ilocos Norte,"Laoag City, Ilocos Norte",1.0,Falcon,Region I,Tropical Storm,0.0,0.0,5.0,0.0,1.0,1.0,914000000.0,0.0,both,both,True,True
2019,FALCON,REGION II,,,,,,,,,,,,Falcon,Region II,Tropical Storm,0.0,0.0,502.0,0.0,0.0,0.0,118879500.0,36556039.0,right_only,impact_only,False,True
2019,FALCON,REGION IV B,133.4,21.0,0.0,0.0,0.0,Falcon,Region IV-B,2019-07-15,Palawan,"Coron, Palawan",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2019,FALCON,REGION V,145.2,21.0,0.0,0.0,0.0,Falcon,Region V,2019-07-15,Sorsogon,"Juban, Sorsogon",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2019,HANNA,REGION III,292.5,0.0,0.0,0.0,0.0,Hanna,Region III,2019-08-04,Zambales,"Iba, Zambales",2.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2019,HANNA,REGION IV B,221.2,0.0,0.0,0.0,0.0,Hanna,Region IV-B,2019-08-04,Palawan,"Coron, Palawan",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2019,INENG,REGION I,660.2,43.333333333333336,0.0,0.0,0.0,Ineng,Region I,2019-08-21,Ilocos Sur,"Sinait, Ilocos Sur",2.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2019,INENG,REGION II,292.8,43.0,0.0,0.0,0.0,Ineng,Region II,2019-08-21,Batanes,"Basco, Batanes",2.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2019,KABAYAN,NCR,89.0,14.0,0.0,0.0,0.0,Kabayan,NCR,2019-09-01,Metro Manila,"Port Area, Manila",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2019,KABAYAN,REGION I,156.8,13.5,0.0,0.0,0.0,Kabayan,Region I,2019-09-01,Ilocos Sur,"Sinait, Ilocos Sur",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2019,KABAYAN,REGION IV A,96.4,13.5,0.0,0.0,0.0,Kabayan,Region IV-A,2019-09-01,Batangas,"Ambulong, Tanauan City, Batangas",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2019,MARILYN,REGION II,,,,,,,,,,,,Marilyn,Region II,Tropical Depression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right_only,impact_only,False,True
2019,MARILYN,REGION III,,,,,,,,,,,,Marilyn,Region III,Tropical Depression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right_only,impact_only,False,True
2019,MARILYN,REGION IX,,,,,,,,,,,,Marilyn,Region IX,Tropical Depression,0.0,0.0,8207.0,0.0,0.0,0.0,0.0,0.0,right_only,impact_only,False,True
2019,MARILYN,REGION VI,,,,,,,,,,,,Marilyn,Region VI,Tropical Depression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right_only,impact_only,False,True
2019,MARILYN,REGION XI,,,,,,,,,,,,Marilyn,Region XI,Tropical Depression,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,right_only,impact_only,False,True
2019,MARILYN,REGION XII,,,,,,,,,,,,Marilyn,Region XII,Tropical Depression,0.0,0.0,7094.0,44.0,155.0,199.0,0.0,0.0,right_only,impact_only,False,True
2019,NIMFA,REGION III,570.7,0.0,0.0,0.0,0.0,Nimfa,Region III,2019-09-17,Zambales,"Iba, Zambales",3.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2019,NIMFA,REGION IV A,111.4,0.0,0.0,0.0,0.0,Nimfa,Region IV-A,2019-09-17,Rizal,"Tanay, Rizal",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
