antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Rain_High', 'Outcome_High_Mortality'})","frozenset({'Inefficient_Spending', 'Outcome_High_Damage'})",0.10247349823321555,0.2049469964664311,0.053003533568904596,0.5172413793103449,2.523781212841855,1.0,0.03200189788859893,1.6468955073195357,0.6727034120734908,0.20833333333333331,0.3927969348659004,0.3879310344827587
"frozenset({'Inefficient_Spending', 'Outcome_High_Damage'})","frozenset({'Rain_High', 'Outcome_High_Mortality'})",0.2049469964664311,0.10247349823321555,0.053003533568904596,0.25862068965517243,2.523781212841855,1.0,0.03200189788859893,1.210617141917988,0.7594074074074074,0.20833333333333331,0.17397502036383386,0.3879310344827587
"frozenset({'Inefficient_Spending', 'Outcome_High_Mortality'})","frozenset({'Rain_High', 'Outcome_High_Damage'})",0.10600706713780919,0.2226148409893993,0.053003533568904596,0.5,2.246031746031746,1.0,0.02940478717426863,1.5547703180212014,0.6205533596837944,0.1923076923076923,0.3568181818181818,0.36904761904761907
"frozenset({'Rain_High', 'Outcome_High_Damage'})","frozenset({'Inefficient_Spending', 'Outcome_High_Mortality'})",0.2226148409893993,0.10600706713780919,0.053003533568904596,0.2380952380952381,2.246031746031746,1.0,0.02940478717426863,1.1733657243816256,0.7136363636363636,0.1923076923076923,0.147750799924713,0.36904761904761907
"frozenset({'Rain_High', 'Outcome_High_Mortality', 'Inefficient_Spending'})",frozenset({'Outcome_High_Damage'}),0.06713780918727916,0.38869257950530034,0.053003533568904596,0.7894736842105263,2.0311004784688995,1.0,0.02690756533356641,2.9037102473498235,0.5441919191919192,0.13157894736842105,0.6556130209917859,0.46291866028708134
frozenset({'Outcome_High_Damage'}),"frozenset({'Rain_High', 'Outcome_High_Mortality', 'Inefficient_Spending'})",0.38869257950530034,0.06713780918727916,0.053003533568904596,0.13636363636363638,2.0311004784688995,1.0,0.02690756533356641,1.0801562209410451,0.8304431599229287,0.13157894736842105,0.07420798898071627,0.46291866028708134
frozenset({'Outcome_High_Damage'}),"frozenset({'Rain_High', 'Outcome_High_Mortality'})",0.38869257950530034,0.10247349823321555,0.07773851590106007,0.2,1.9517241379310344,1.0,0.03790782754185968,1.1219081272084803,0.7976878612716762,0.18803418803418803,0.10866141732283466,0.47931034482758617
"frozenset({'Rain_High', 'Outcome_High_Mortality'})",frozenset({'Outcome_High_Damage'}),0.10247349823321555,0.38869257950530034,0.07773851590106007,0.7586206896551724,1.9517241379310344,1.0,0.03790782754185968,2.532559313478041,0.5433070866141733,0.18803418803418803,0.6051425154474785,0.47931034482758617
frozenset({'Outcome_High_Mortality'}),"frozenset({'Budget_Low', 'Outcome_High_Damage'})",0.20848056537102475,0.18021201413427562,0.06713780918727916,0.3220338983050848,1.7869724160850782,1.0,0.029567106593914275,1.2091872791519436,0.5563909774436091,0.20879120879120883,0.1729982466393922,0.34729145895646396
"frozenset({'Budget_Low', 'Outcome_High_Damage'})",frozenset({'Outcome_High_Mortality'}),0.18021201413427562,0.20848056537102475,0.06713780918727916,0.37254901960784315,1.786972416085078,1.0,0.029567106593914275,1.2614840989399292,0.5372050816696915,0.20879120879120883,0.20728291316526612,0.34729145895646396
frozenset({'Outcome_High_Mortality'}),"frozenset({'Rain_High', 'Outcome_High_Damage'})",0.20848056537102475,0.2226148409893993,0.07773851590106007,0.37288135593220334,1.6750067258541832,1.0,0.03132764799160933,1.239614172476363,0.5091314935064934,0.21999999999999997,0.19329738058551613,0.3610438525692763
