Cyclone Name,Region,Province,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),Year,Category
Aghon,Region 3,,0,0,8589,0,0,0,0,0,2024,Typhoon
Aghon,CALABARZON,,5,0,126383,748,6890,7638,942546193.82,80402565.00,2024,Typhoon
Aghon,MIMAROPA,,0,0,3656,0,0,0,0,0,2024,Typhoon
Aghon,Region 5,,0,0,10675,0,0,0,0,0,2024,Typhoon
Aghon,Region 7,,0,0,629,0,0,0,0,0,2024,Typhoon
Aghon,Region 8,,0,0,2031,4,17,21,0,0,2024,Typhoon
Aghon,NCR,,0,0,303,0,0,0,0,0,2024,Typhoon
Aghon,Region 10,,1,1,0,0,0,0,0,0,2024,Typhoon
Butchoy and Carina,Region 1,,0,0,440265,14,607,621,1856533490.46,1057920182.39,2024,Combined Effects
Butchoy and Carina,Region 2,,0,0,15115,4,36,40,109458191.44,56517537.25,2024,Combined Effects
Butchoy and Carina,Region 3,,2,7,3447004,487,354,841,1716909898.92,2523341865.15,2024,Combined Effects
Butchoy and Carina,CALABARZON,,5,0,431459,947,6017,6964,340987686.58,71216065.48,2024,Combined Effects
Butchoy and Carina,MIMAROPA,,0,0,165111,40,479,519,1557124830.42,236443449.26,2024,Combined Effects
Butchoy and Carina,Region 5,,0,0,56205,21,80,101,0,48852959.91,2024,Combined Effects
Butchoy and Carina,Region 6,,0,0,57473,49,250,299,0,77256054.21,2024,Combined Effects
Butchoy and Carina,Region 7,,0,0,32601,4,9,13,0,0,2024,Combined Effects
Butchoy and Carina,Region 8,,0,0,8805,0,0,0,69569062.43,9557221.86,2024,Combined Effects
Butchoy and Carina,Region 9,,4,0,134393,20,24,44,0,8332258.6,2024,Combined Effects
Butchoy and Carina,Region 10,,1,2,12081,12,17,29,4535019.28,31826726.84,2024,Combined Effects
Butchoy and Carina,Region 11,,1,0,1804,14,46,60,0,0,2024,Combined Effects
Butchoy and Carina,Region 12,,0,0,268142,25,15,40,0,247891860.99,2024,Combined Effects
Butchoy and Carina,CARAGA,,0,0,102,1,4,5,0,0,2024,Combined Effects
Butchoy and Carina,BARMM,,1,0,552971,1,5,6,0,0,2024,Combined Effects
Butchoy and Carina,CAR,,0,0,120941,19,189,208,327111236.87,17120879.52,2024,Combined Effects
Butchoy and Carina,NCR,,0,0,754446,0,0,0,0,0,2024,Combined Effects
Enteng,Region 1,,0,1,180607,2,20,22,69500000,23602504,2024,Severe Tropical Storm
Enteng,Region 2,,0,1,7764,0,0,0,111920772.5,83623466.25,2024,Severe Tropical Storm
Enteng,Region 3,,0,0,930343,14,83,97,0,1100469046.81,2024,Severe Tropical Storm
Enteng,CALABARZON,,0,0,143562,400,866,1266,87333700,0,2024,Severe Tropical Storm
Enteng,Region 5,,0,0,1199257,63,5656,5719,356146667.5,688367118.09,2024,Severe Tropical Storm
Enteng,Region 6,,1,0,1199,0,2,2,0,7446882.9,2024,Severe Tropical Storm
Enteng,Region 7,,0,0,74,5,5,10,0,0,2024,Severe Tropical Storm
Enteng,Region 8,,0,0,215213,14,486,500,23645000,4117450.38,2024,Severe Tropical Storm
Enteng,NCR,,0,0,321911,0,0,0,0,0,2024,Severe Tropical Storm
Enteng,CAR,,0,0,4676,0,9,9,50355028.65,0,2024,Severe Tropical Storm
Ferdie and Gener and Helen and Igme,Region 2,,0,0,7381,2,13,15,0,0,2024,Combined Effects
Ferdie and Gener and Helen and Igme,Region 3,,0,0,350422,0,0,0,0,0,2024,Combined Effects
Ferdie and Gener and Helen and Igme,MIMAROPA,,4,3,86430,31,254,285,0,739767570.46,2024,Combined Effects
Ferdie and Gener and Helen and Igme,Region 5,,0,0,309645,1,0,1,0,0,2024,Combined Effects
Ferdie and Gener and Helen and Igme,Region 6,,0,0,462679,207,1915,2122,200000,351011392.06,2024,Combined Effects
Ferdie and Gener and Helen and Igme,Region 7,,0,0,33613,38,64,102,0,0,2024,Combined Effects
Ferdie and Gener and Helen and Igme,Region 9,,0,0,19121,90,136,226,0,1190730,2024,Combined Effects
Ferdie and Gener and Helen and Igme,Region 10,,0,0,19630,51,554,605,2317500,0,2024,Combined Effects
Ferdie and Gener and Helen and Igme,Region 11,,0,0,409,4,6,10,0,0,2024,Combined Effects
Ferdie and Gener and Helen and Igme,Region 12,,0,0,29127,2,5,7,0,0,2024,Combined Effects
Ferdie and Gener and Helen and Igme,CARAGA,,0,0,79,0,11,11,0,0,2024,Combined Effects
Ferdie and Gener and Helen and Igme,BARMM,,0,0,304560,43,219,262,0,0,2024,Combined Effects
Ferdie and Gener and Helen and Igme,CAR,,0,0,6423,0,3,3,20170000,0,2024,Combined Effects
Julian,Region 1,,4,0,262220,17,599,616,738157080.27,387835224.70,2024,Super Typhoon
Julian,Region 2,,1,12,43477,107,2087,2194,189062000.00,129600666.40,2024,Super Typhoon
Julian,CAR,,0,0,75081,3,30,33,37963930.00,10510664.70,2024,Super Typhoon
Kristine and Leon,Region 1,,0,0,571291,273,7941,8214,150500000.00,636555655.83,2024,Combined Effects
Kristine and Leon,Region 2,,1,0,246665,13,594,607,116441369.80,666014061.82,2024,Combined Effects
Kristine and Leon,Region 3,,2,4,1145022,14,135,149,1567066804.87,455033854.99,2024,Combined Effects
Kristine and Leon,CALABARZON,,0,2,1683269,7789,69646,77435,2704248400.73,553950227.89,2024,Combined Effects
Kristine and Leon,MIMAROPA,,0,0,92293,170,1653,1823,397967553.79,759785300.86,2024,Combined Effects
Kristine and Leon,Region 5,,15,0,3255804,6776,80052,86828,5511010940.92,3826819839.58,2024,Combined Effects
Kristine and Leon,Region 6,,0,0,602692,761,24262,25023,0,544528242.33,2024,Combined Effects
Kristine and Leon,Region 7,,0,0,50895,8,107,115,226044.11,0,2024,Combined Effects
Kristine and Leon,Region 8,,0,0,960155,275,4783,5058,0,342789853.66,2024,Combined Effects
Kristine and Leon,Region 9,,0,0,69250,59,209,268,0,0,2024,Combined Effects
Kristine and Leon,Region 10,,1,1,13879,112,1338,1450,2000000.00,0,2024,Combined Effects
Kristine and Leon,Region 11,,0,0,26473,46,443,489,0,0,2024,Combined Effects
Kristine and Leon,Region 12,,0,0,111569,58,138,196,15000000.00,22898170,2024,Combined Effects
Kristine and Leon,CARAGA,,0,0,58224,23,183,206,65000.00,0,2024,Combined Effects
Kristine and Leon,BARMM,,0,0,504766,99,147,246,0,0,2024,Combined Effects
Kristine and Leon,CAR,,3,4,27660,6,345,351,101533428.40,22462246.60,2024,Combined Effects
Kristine and Leon,NCR,,0,0,232700,0,0,0,0,0,2024,Combined Effects
Marce,Region 1,,0,0,46035,58,2236,2294,0,16247830.58,2024,Typhoon
Marce,Region 2,,1,0,277074,1031,20801,21832,176478600.00,0,2024,Typhoon
Marce,CAR,,0,0,64405,58,4756,4814,0,0,2024,Typhoon
Querubin,Region 10,Misamis Occidental,0,0,549,0,0,0,0,0,2024,Tropical Depression
Querubin,Region 11,Davao del Norte,0,0,157,0,0,0,0,0,2024,Tropical Depression
Romina,MIMAROPA,Palawan,4,0,88326,2,19,21,581000000,0,2024,Tropical Depression
Romina,Region 11,,0,0,157,0,0,0,0,0,2024,Tropical Depression
Romina,Region 12,,0,0,49328,0,0,0,0,0,2024,Tropical Depression
