Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Date
Crising,2025,"Mt. Matulid, Norzagaray, Bulacan",225.0,0.0,2025-07-16
Crising,2025,"Bacnotan, La Union",214.6,0.0,2025-07-16
Crising,2025,"Sinait, Ilocos Sur",202.6,0.0,2025-07-16
Crising,2025,"Abucay, Bataan",200.8,0.0,2025-07-16
Crising,2025,"Angat Dam, Norzagaray, Bulacan",197.0,0.0,2025-07-16
Crising,2025,"Calayan, Cagayan",0.0,28.0,2025-07-16
Crising,2025,"Itbayat, Batanes",0.0,20.0,2025-07-16
Crising,2025,"Laoag, Ilocos Norte",0.0,17.0,2025-07-16
Crising,2025,"Baler, Aurora",0.0,15.0,2025-07-16
Crising,2025,"Aparri, Cagayan",0.0,14.0,2025-07-16
Emong,2025,Baguio City,302.0,25.0,2025-07-23
Emong,2025,"Cubi Point, Subic Bay",280.1,20.0,2025-07-23
Emong,2025,"Bacnotan, La Union",275.9,22.0,2025-07-23
Emong,2025,"Abucay, Bataan",234.3,0.0,2025-07-23
Emong,2025,"Iba, Zambales",206.4,21.0,2025-07-23
Emong,2025,"Calayan, Cagayan",0.0,18.0,2025-07-23
Isang,2025,"Iba, Zambales",173.2,10.0,2025-08-22
Isang,2025,"Juban, Sorsogon",152.6,0.0,2025-08-22
Isang,2025,"La Carlota City, Negros Occidental",127.0,0.0,2025-08-22
Isang,2025,"San Jose, Occidental Mindoro",77.7,0.0,2025-08-22
Isang,2025,"Cubi Point, Subic Bay",72.0,0.0,2025-08-22
Isang,2025,"Casiguran, Aurora",0.0,16.0,2025-08-22
Isang,2025,Baguio City,0.0,15.0,2025-08-22
Isang,2025,"Baler, Aurora",0.0,12.0,2025-08-22
Isang,2025,"Muñoz City, Nueva Ecija",0.0,5.0,2025-08-22
Mirasol,2025,"Casiguran, Aurora",208.0,26.0,2025-09-25
Mirasol,2025,"La Trinidad, Benguet",96.5,0.0,2025-09-25
Mirasol,2025,"Baler, Aurora",93.4,10.0,2025-09-25
Mirasol,2025,"Echague, Isabela",78.8,0.0,2025-09-25
Mirasol,2025,"Tanay, Rizal",75.6,0.0,2025-09-25
Mirasol,2025,"Basco, Batanes",0.0,15.0,2025-09-25
Mirasol,2025,"Calayan, Cagayan",0.0,15.0,2025-09-25
Mirasol,2025,"Infanta, Quezon",0.0,8.0,2025-09-25
Nando,2025,"La Trinidad, Benguet",370.9,0.0,2025-10-05
Nando,2025,Baguio City,327.0,0.0,2025-10-05
Nando,2025,"Sinait, Ilocos Sur",267.8,19.0,2025-10-05
Nando,2025,"Batac, Ilocos Norte",210.4,0.0,2025-10-05
Nando,2025,"Laoag City, Ilocos Norte",178.9,30.0,2025-10-05
Nando,2025,"Calayan, Cagayan",0.0,80.0,2025-10-05
Nando,2025,"Itbayat, Batanes",0.0,31.0,2025-10-05
Nando,2025,"Aparri, Cagayan",0.0,30.0,2025-10-05
Nando,2025,"Tuguegarao City, Cagayan",0.0,14.0,2025-10-05
Nando,2025,"Bayombong, Nueva Vizcaya",0.0,14.0,2025-10-05
Opong,2025,"Baybay City, Leyte",261.1,0.0,2025-10-15
Opong,2025,"Catbalogan City, Samar",250.8,0.0,2025-10-15
Opong,2025,"Maasin City, Southern Leyte",213.1,0.0,2025-10-15
Opong,2025,"Coron, Palawan",135.6,0.0,2025-10-15
Opong,2025,"Roxas City, Capiz",132.0,18.0,2025-10-15
Opong,2025,"Romblon, Romblon",0.0,41.0,2025-10-15
Opong,2025,"Masbate City, Masbate",0.0,34.0,2025-10-15
Opong,2025,"Guiuan, Eastern Samar",0.0,21.0,2025-10-15
Opong,2025,"Tanay, Rizal",0.0,20.0,2025-10-15
Paolo,2025,"Iba, Zambales",277.5,16.0,2025-10-25
Paolo,2025,"Cubi Pt., Subic Bay",174.5,17.0,2025-10-25
Paolo,2025,Baguio City,134.4,20.0,2025-10-25
Paolo,2025,"Abucay, Bataan",133.7,0.0,2025-10-25
Paolo,2025,"Casiguran, Aurora",110.0,26.0,2025-10-25
Paolo,2025,"Echague, Isabela",0.0,20.5,2025-10-25
Paolo,2025,"Baler, Aurora",0.0,20.0,2025-10-25
Ramil,2025,"Guiuan, Eastern Samar",400.7,0.0,2025-11-15
Ramil,2025,"Roxas City, Capiz",365.5,0.0,2025-11-15
