Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Province,Region
Bising,2021,"Catarman, Northern Samar",265.5,22.666666666666668,Northern Samar,Region VIII
Bising,2021,"Virac, Catanduanes",252.2,30.0,Catanduanes,Region V
Bising,2021,"Pili, Camarines Sur",141.6,30.0,Camarines Sur,Region V
Bising,2021,"Catbalogan City, Samar",124.2,22.666666666666668,Samar,Region VIII
Bising,2021,"Guiuan, Eastern Samar",102.9,26.0,Eastern Samar,Region VIII
Bising,2021,"Tacloban City, Leyte",164.20000000000002,22.0,Leyte,Region VIII
Bising,2021,"Basco, Batanes",173.54285714285717,21.0,Batanes,Region II
Bising,2021,"Borongan City, Eastern Samar",164.20000000000002,20.0,Eastern Samar,Region VIII
Dante,2021,"Maasin City, Southern Leyte",395.4,18.5,Southern Leyte,Region VIII
Dante,2021,"San Jose, Occidental Mindoro",137.3,19.0,Occidental Mindoro,Region IV-B
Dante,2021,"El Salvador City, Misamis Oriental",121.8,17.954545454545453,Misamis Oriental,Region X
Dante,2021,"Hinatuan, Surigao Del Sur",104.0,17.954545454545453,Surigao del Sur,Region XIII
Dante,2021,"Abucay, Bataan",103.0,20.0,Bataan,Region III
Dante,2021,"Romblon City, Romblon",137.3,22.0,Romblon,Region IV-B
Dante,2021,"Guiuan, Eastern Samar",395.4,20.0,Eastern Samar,Region VIII
Dante,2021,"Basco, Batanes",214.1,17.0,Batanes,Region II
Dante,2021,"Catarman, Northern Samar",395.4,17.0,Northern Samar,Region VIII
Dante,2021,"Calapan City, Oriental Mindoro",137.3,16.0,Oriental Mindoro,Region IV-B
Dante,2021,"Itbayat, Batanes",214.1,16.0,Batanes,Region II
Dante,2021,"Mactan-Cebu International Airport, Lapu-Lapu City",214.1,16.0,Cebu,Region VII
Dante,2021,"Sangley Pt., Cavite City, Cavite",214.1,16.0,Cavite,Region IV-A
Emong,2021,"Iba, Zambales",166.8,17.0,Zambales,Region III
Emong,2021,"Alabat, Quezon",154.2,17.272727272727273,Quezon,Region IV-A
Emong,2021,"Baler, Aurora",122.0,10.0,Aurora,Region III
Emong,2021,"Virac, Catanduanes",85.8,17.272727272727273,Catanduanes,Region V
Emong,2021,"Tanay, Rizal",81.3,17.272727272727273,Rizal,Region IV-A
Emong,2021,"Basco, Batanes",200.98181818181817,20.0,Batanes,Region II
Emong,2021,Baguio City,302.0,10.0,Benguet,CAR
Emong,2021,"Calayan, Cagayan",200.98181818181817,10.0,Cagayan,Region II
Fabian,2021,"Mt. Cabuyao, Tuba, Benguet",246.8,20.0,Benguet,CAR
Fabian,2021,"Abucay, Bataan",218.1,18.0,Bataan,Region III
Fabian,2021,Baguio City,214.6,20.0,Benguet,CAR
Fabian,2021,"Iba, Zambales",213.6,18.0,Zambales,Region III
Fabian,2021,"Port Area, Manila",206.9,16.9,Metro Manila,NCR
Fabian,2021,"Baler, Aurora",215.85,26.0,Aurora,Region III
Fabian,2021,"Basco, Batanes",218.8142857142857,20.0,Batanes,Region II
Fabian,2021,"Laoag City, Ilocos Norte",218.8142857142857,13.0,Ilocos Norte,Region I
Fabian,2021,"Aparri, Cagayan",218.8142857142857,12.0,Cagayan,Region II
Fabian,2021,"Itbayat, Batanes",218.8142857142857,12.0,Batanes,Region II
Fabian,2021,"Casiguran, Aurora",215.85,10.0,Aurora,Region III
Jolina,2021,"Mt. Cabuyao, Tuba, Benguet",187.8,24.645833333333336,Benguet,CAR
Jolina,2021,"Tayabas City, Quezon",166.8,23.5,Quezon,Region IV-A
Jolina,2021,"Catbalogan City, Samar",152.1,22.0,Samar,Region VIII
Jolina,2021,"Guiuan, Eastern Samar",150.1,38.0,Eastern Samar,Region VIII
Jolina,2021,"Tacloban City, Leyte",141.2,26.666666666666668,Leyte,Region VIII
Jolina,2021,"Ambulong, Tanauan City, Batangas",166.8,24.0,Batangas,Region IV-A
Jolina,2021,"Tanay, Rizal",166.8,23.0,Rizal,Region IV-A
Jolina,2021,"Borongan City, Eastern Samar",147.79999999999998,20.0,Eastern Samar,Region VIII
Jolina,2021,"Masbate City, Masbate",159.925,20.0,Masbate,Region V
Kiko,2021,"Itbayat, Batanes",510.0,60.0,Batanes,Region II
Kiko,2021,"Basco, Batanes",420.7,86.0,Batanes,Region II
Kiko,2021,"Mt. Cabuyao, Tuba, Benguet",187.8,32.857142857142854,Benguet,CAR
Kiko,2021,"Tayabas City, Quezon",166.8,32.857142857142854,Quezon,Region IV-A
Kiko,2021,"Iba, Zambales",137.2,13.0,Zambales,Region III
