Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Date,Province,Region
Bising,2021,"Catarman, Northern Samar",265.5,0.0,2021-04-16,Northern Samar,Region VIII
Bising,2021,"Virac, Catanduanes",252.2,30.0,2021-04-16,Catanduanes,Region V
Bising,2021,"Pili, Camarines Sur",141.6,0.0,2021-04-16,Camarines Sur,Region V
Bising,2021,"Catbalogan City, Samar",124.2,0.0,2021-04-16,Samar,Region VIII
Bising,2021,"Guiuan, Eastern Samar",102.9,26.0,2021-04-16,Eastern Samar,Region VIII
Bising,2021,"Tacloban City, Leyte",0.0,22.0,2021-04-16,Leyte,Region VIII
Bising,2021,"Basco, Batanes",0.0,21.0,2021-04-16,Batanes,Region II
Bising,2021,"Borongan City, Eastern Samar",0.0,20.0,2021-04-16,Eastern Samar,Region VIII
Dante,2021,"Maasin City, Southern Leyte",395.4,0.0,2021-05-30,Southern Leyte,Region VIII
Dante,2021,"San Jose, Occidental Mindoro",137.3,19.0,2021-05-30,Occidental Mindoro,Region IV-B
Dante,2021,"El Salvador City, Misamis Oriental",121.8,0.0,2021-05-30,Misamis Oriental,Region X
Dante,2021,"Hinatuan, Surigao Del Sur",104.0,0.0,2021-05-30,Surigao del Sur,Region XIII
Dante,2021,"Abucay, Bataan",103.0,20.0,2021-05-30,Bataan,Region III
Dante,2021,"Romblon City, Romblon",0.0,22.0,2021-05-30,Romblon,Region IV-B
Dante,2021,"Guiuan, Eastern Samar",0.0,20.0,2021-05-30,Eastern Samar,Region VIII
Dante,2021,"Basco, Batanes",0.0,17.0,2021-05-30,Batanes,Region II
Dante,2021,"Catarman, Northern Samar",0.0,17.0,2021-05-30,Northern Samar,Region VIII
Dante,2021,"Calapan City, Oriental Mindoro",0.0,16.0,2021-05-30,Oriental Mindoro,Region IV-B
Dante,2021,"Itbayat, Batanes",0.0,16.0,2021-05-30,Batanes,Region II
Dante,2021,"Mactan-Cebu International Airport, Lapu-Lapu City",0.0,16.0,2021-05-30,Cebu,Region VII
Dante,2021,"Sangley Pt., Cavite City, Cavite",0.0,16.0,2021-05-30,Cavite,Region IV-A
Emong,2021,"Iba, Zambales",166.8,0.0,2021-07-02,Zambales,Region III
Emong,2021,"Alabat, Quezon",154.2,0.0,2021-07-02,Quezon,Region IV-A
Emong,2021,"Baler, Aurora",122.0,10.0,2021-07-02,Aurora,Region III
Emong,2021,"Virac, Catanduanes",85.8,0.0,2021-07-02,Catanduanes,Region V
Emong,2021,"Tanay, Rizal",81.3,0.0,2021-07-02,Rizal,Region IV-A
Emong,2021,"Basco, Batanes",0.0,20.0,2021-07-02,Batanes,Region II
Emong,2021,Baguio City,0.0,10.0,2021-07-02,Benguet,CAR
Emong,2021,"Calayan, Cagayan",0.0,10.0,2021-07-02,Cagayan,Region II
Fabian,2021,"Mt. Cabuyao, Tuba, Benguet",246.8,0.0,2021-07-16,Benguet,CAR
Fabian,2021,"Abucay, Bataan",218.1,0.0,2021-07-16,Bataan,Region III
Fabian,2021,Baguio City,214.6,20.0,2021-07-16,Benguet,CAR
Fabian,2021,"Iba, Zambales",213.6,0.0,2021-07-16,Zambales,Region III
Fabian,2021,"Port Area, Manila",206.9,0.0,2021-07-16,Metro Manila,NCR
Fabian,2021,"Baler, Aurora",0.0,26.0,2021-07-16,Aurora,Region III
Fabian,2021,"Basco, Batanes",0.0,20.0,2021-07-16,Batanes,Region II
Fabian,2021,"Laoag City, Ilocos Norte",0.0,13.0,2021-07-16,Ilocos Norte,Region I
Fabian,2021,"Aparri, Cagayan",0.0,12.0,2021-07-16,Cagayan,Region II
