antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Budget_Low', 'Inefficient_Spending', 'Outcome_High_Damage'})","frozenset({'Outcome_High_Mortality', 'Rain_High'})",0.028268551236749116,0.10247349823321555,0.01060070671378092,0.37500000000000006,3.65948275862069,1.0,0.007703929378566345,1.436042402826855,0.7478787878787878,0.08823529411764706,0.30364173228346464,0.2392241379310345
"frozenset({'Outcome_High_Mortality', 'Rain_High'})","frozenset({'Budget_Low', 'Inefficient_Spending', 'Outcome_High_Damage'})",0.10247349823321555,0.028268551236749116,0.01060070671378092,0.10344827586206896,3.6594827586206895,1.0,0.007703929378566345,1.0838543082359338,0.8097112860892389,0.08823529411764706,0.07736677115987461,0.2392241379310345
"frozenset({'Outcome_High_Damage', 'Rain_High'})","frozenset({'Outcome_High_Mortality', 'Budget_Low', 'Inefficient_Spending'})",0.2226148409893993,0.0176678445229682,0.01060070671378092,0.04761904761904762,2.6952380952380954,1.0,0.006667582314674925,1.0314487632508835,0.8090909090909093,0.046153846153846156,0.030489893799246322,0.3238095238095238
"frozenset({'Outcome_High_Mortality', 'Budget_Low', 'Inefficient_Spending'})","frozenset({'Outcome_High_Damage', 'Rain_High'})",0.0176678445229682,0.2226148409893993,0.01060070671378092,0.6,2.695238095238095,1.0,0.006667582314674925,1.9434628975265016,0.6402877697841728,0.046153846153846156,0.4854545454545454,0.3238095238095238
"frozenset({'Inefficient_Spending', 'Budget_Low'})","frozenset({'Outcome_High_Mortality', 'Rain_High'})",0.06713780918727916,0.10247349823321555,0.0176678445229682,0.2631578947368421,2.568058076225045,1.0,0.010787998351833585,1.2180716809692074,0.6545454545454545,0.11627906976744184,0.1790302527973477,0.21778584392014516
"frozenset({'Outcome_High_Mortality', 'Rain_High'})","frozenset({'Inefficient_Spending', 'Outcome_High_Damage'})",0.10247349823321555,0.2049469964664311,0.053003533568904596,0.5172413793103449,2.523781212841855,1.0,0.03200189788859893,1.6468955073195357,0.6727034120734908,0.20833333333333331,0.3927969348659004,0.3879310344827587
"frozenset({'Inefficient_Spending', 'Outcome_High_Damage'})","frozenset({'Outcome_High_Mortality', 'Rain_High'})",0.2049469964664311,0.10247349823321555,0.053003533568904596,0.25862068965517243,2.523781212841855,1.0,0.03200189788859893,1.210617141917988,0.7594074074074074,0.20833333333333331,0.17397502036383386,0.3879310344827587
"frozenset({'Budget_Low', 'Inefficient_Spending', 'Outcome_High_Damage', 'Rain_High'})",frozenset({'Outcome_High_Mortality'}),0.02120141342756184,0.20848056537102475,0.01060070671378092,0.5,2.3983050847457625,1.0,0.0061806240557379915,1.5830388692579505,0.5956678700361011,0.04838709677419355,0.3683035714285714,0.2754237288135593
frozenset({'Outcome_High_Mortality'}),"frozenset({'Budget_Low', 'Inefficient_Spending', 'Outcome_High_Damage', 'Rain_High'})",0.20848056537102475,0.02120141342756184,0.01060070671378092,0.05084745762711865,2.3983050847457625,1.0,0.0061806240557379915,1.0312342251388187,0.7366071428571428,0.04838709677419355,0.03028819678149667,0.2754237288135593
"frozenset({'Outcome_High_Damage', 'Rain_High'})","frozenset({'Outcome_High_Mortality', 'Inefficient_Spending'})",0.2226148409893993,0.10600706713780919,0.053003533568904596,0.2380952380952381,2.246031746031746,1.0,0.02940478717426863,1.1733657243816256,0.7136363636363636,0.1923076923076923,0.147750799924713,0.36904761904761907
"frozenset({'Outcome_High_Mortality', 'Inefficient_Spending'})","frozenset({'Outcome_High_Damage', 'Rain_High'})",0.10600706713780919,0.2226148409893993,0.053003533568904596,0.5,2.246031746031746,1.0,0.02940478717426863,1.5547703180212014,0.6205533596837944,0.1923076923076923,0.3568181818181818,0.36904761904761907
"frozenset({'Budget_Low', 'Inefficient_Spending'})","frozenset({'Outcome_High_Mortality', 'Outcome_High_Damage', 'Rain_High'})",0.06713780918727916,0.07773851590106007,0.01060070671378092,0.15789473684210525,2.0311004784688995,1.0,0.005381513066713282,1.0951855123674912,0.5441919191919191,0.07894736842105263,0.08691268400887275,0.14712918660287083
"frozenset({'Outcome_High_Mortality', 'Inefficient_Spending', 'Rain_High'})",frozenset({'Outcome_High_Damage'}),0.06713780918727916,0.38869257950530034,0.053003533568904596,0.7894736842105263,2.0311004784688995,1.0,0.02690756533356641,2.9037102473498235,0.5441919191919192,0.13157894736842105,0.6556130209917859,0.46291866028708134
frozenset({'Outcome_High_Damage'}),"frozenset({'Outcome_High_Mortality', 'Inefficient_Spending', 'Rain_High'})",0.38869257950530034,0.06713780918727916,0.053003533568904596,0.13636363636363638,2.0311004784688995,1.0,0.02690756533356641,1.0801562209410451,0.8304431599229287,0.13157894736842105,0.07420798898071627,0.46291866028708134
frozenset({'Rain_High'}),"frozenset({'Outcome_High_Mortality', 'Budget_Low', 'Inefficient_Spending', 'Outcome_High_Damage'})",0.49823321554770317,0.01060070671378092,0.01060070671378092,0.021276595744680854,2.0070921985815606,1.0,0.005319082520695726,1.01090797357505,1.0,0.021276595744680854,0.010790273556231005,0.5106382978723404
frozenset({'Rain_High'}),"frozenset({'Outcome_High_Mortality', 'Inefficient_Spending', 'Budget_Low'})",0.49823321554770317,0.0176678445229682,0.0176678445229682,0.03546099290780142,2.00709219858156,1.0,0.008865137534492877,1.0184473082519228,1.0,0.03546099290780142,0.0181131690392367,0.5177304964539007
"frozenset({'Inefficient_Spending', 'Budget_Low', 'Rain_High'})",frozenset({'Outcome_High_Mortality'}),0.04240282685512368,0.20848056537102475,0.0176678445229682,0.41666666666666663,1.9985875706214686,1.0,0.008827679206882343,1.3568904593639575,0.521771217712177,0.07575757575757576,0.26302083333333326,0.2507062146892655
frozenset({'Outcome_High_Mortality'}),"frozenset({'Budget_Low', 'Outcome_High_Damage', 'Rain_High'})",0.20848056537102475,0.07773851590106007,0.03180212014134275,0.15254237288135591,1.9622496147919875,1.0,0.015595150395185352,1.0882685512367491,0.6195436507936507,0.12499999999999997,0.08110916293265795,0.28081664098613246
"frozenset({'Budget_Low', 'Outcome_High_Damage', 'Rain_High'})",frozenset({'Outcome_High_Mortality'}),0.07773851590106007,0.20848056537102475,0.03180212014134275,0.40909090909090906,1.9622496147919875,1.0,0.015595150395185352,1.3394944278336502,0.5317156236696465,0.12499999999999997,0.25344967532467527,0.28081664098613246
"frozenset({'Outcome_High_Mortality', 'Rain_High'})",frozenset({'Outcome_High_Damage'}),0.10247349823321555,0.38869257950530034,0.07773851590106007,0.7586206896551724,1.9517241379310344,1.0,0.03790782754185968,2.532559313478041,0.5433070866141733,0.18803418803418803,0.6051425154474785,0.47931034482758617
frozenset({'Outcome_High_Damage'}),"frozenset({'Outcome_High_Mortality', 'Rain_High'})",0.38869257950530034,0.10247349823321555,0.07773851590106007,0.2,1.9517241379310344,1.0,0.03790782754185968,1.1219081272084803,0.7976878612716762,0.18803418803418803,0.10866141732283466,0.47931034482758617
"frozenset({'Budget_Low', 'Inefficient_Spending', 'Rain_High'})","frozenset({'Outcome_High_Mortality', 'Outcome_High_Damage'})",0.04240282685512368,0.13074204946996468,0.01060070671378092,0.25,1.912162162162162,1.0,0.005056874227421993,1.1590106007067138,0.4981549815498154,0.06521739130434782,0.1371951219512195,0.16554054054054054
